 名称,许可证号,许可证有效期,地址,经营项目,经营方式,食品类型,主题类型 ,lat,lng,town
 佛山市南海区大众乐饮用水经销部,SP4406821350079530,11/17/2016,佛山市南海区小塘长安路96号,预包装食品,零售, , ,23.097098,112.973406,狮山镇,长安路
 佛山市南海区里水金惠百货商店,SP4406821350079302,11/13/2016,佛山市南海区里水镇草场村草场大街十三巷3号,预包装食品、散装食品、乳制品,零售, , ,23.199523,113.194951,里水镇,草场大道
 佛山市南海区顾上食品商行,SP4406821350078897,11/10/2016,佛山市南海区大沥镇黄岐怡富广场C座35号铺,预包装食品,零售, , ,23.111182,113.180909,大沥镇,黄海路
 佛山市南海区九江大雅粮油店,SP4406821350079425,11/14/2016,佛山市南海区九江镇上东村永红组永红楼铺位之一,预包装食品、散装食品,批发兼零售, , ,22.836362,113.016155,九江镇,康宁路
 佛山市南海区桂城宝之缘食品有限公司,SP4406821010174898,11/06/2016,佛山市南海区桂城中轴线七风公园千灯湖北翼首层、二层及南翼二层,预包装食品,零售, , ,23.012836,113.113936,石湾镇街道,玫瑰西路
 佛山市南海区桂城进兴食品综合店,SP4406821350079896,11/19/2014,佛山市南海区桂城叠北潭头村“岭公围”地段超益农贸市场内食品9号铺,预包装食品,零售, , ,23.065755,113.126835,桂城街道,
 佛山市南海区君琼生面店,SP4406821050164705,08/08/2016,佛山市南海区松岗石碣华兴农贸综合市场F4号铺,散装食品,零售, , ,23.147192,113.096797,狮山镇,松岗大道
 佛山市南海区平洲裕顺百货店,SP4406821350068632,08/04/2016,佛山市南海区平洲平南桃村大道二巷,预包装食品,零售, , ,22.922468,113.254417,北滘镇,兰石大街
 佛山市南海区九江泰昌烧腊店,SP4406821050177856,11/07/2016,佛山市南海区九江镇西圣路潭涌口开发区19号,散装食品,零售, , ,23.074541,113.029545,狮山镇,佳琪路
 佛山市南海区强宝妇婴用品店,SP4406821350078977,11/10/2016,佛山市南海区狮山镇罗村金湖农贸市场1区161号铺,预包装食品、乳制品,零售, , ,23.062094,113.036766,狮山镇,金湖美食街
 佛山市信彰超级市场有限公司,SP4406821110190814,04/21/2014,佛山市南海区桂城街道佛平路与桂平路交汇处（太港城广场）三层,预包装食品、散装食品、乳制品,零售, , ,23.031538,113.188331,桂城街道,蓬涌大道
 佛山市南海区大沥都市百姓大药房狮山谭边分店,SP4406821310077931,10/30/2016,佛山市南海区狮山社区谭边大道32号铺,预包装食品、乳制品,零售, , ,23.107555,113.069905,狮山镇,谭边大道
 佛山市南海区鑫之源贸易部,SP4406821050174139,11/06/2016,佛山市南海区桂城东二南兴村东区八巷十八号一楼,预包装食品,批发兼零售, , ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海区里水天与茶行,SP4406821150182146,01/27/2014,佛山市南海区里水镇夏塘路华苑五街1号首层,预包装食品、散装食品,零售, , ,23.203287,113.149973,里水镇,红旗中心村路
 佛山市南海惠铭贸易有限公司,SP4406821310078524,11/11/2016,佛山市南海区西樵科技工业园新纺大道侧今易德商贸广场E座5、6、7、8号铺,预包装食品、散装食品、乳制品,批发兼零售, , ,22.947236,112.906107,西樵镇,河岗大道
 佛山市南海区鑫云便利店,SP4406821350078901,11/10/2016,佛山市南海区大沥镇南村南二新村中南路52号,预包装食品、乳制品,零售, , ,23.094517,113.10784,大沥镇,良濠路
 佛山市南海区均发冷冻食品商行,SP4406821350079214,11/11/2016,佛山市南海区狮山镇罗村佛山中南农产品交易中心东二区A025号仓,预包装食品,批发, , ,23.124953,113.002144,狮山镇,博爱路
 佛山市慕恩包装设计有限公司,SP4406821310079880,11/19/2016,佛山市南海区桂城灯湖西路20号保利水城公馆智苑2104房,预包装食品,批发, , ,23.062963,113.142958,桂城街道,海七路
 佛山市南海甜腻腻酒吧,SP4406821350242267,11/18/2016,佛山市南海区桂城街道灯湖西路20号保利水城3栋9铺,预包装食品,零售, , ,23.062406,113.143216,桂城街道,海七路
 佛山市南海区里水家佳缘百货店,SP4406821350078856,11/10/2016,佛山市南海区里水镇流潮潭村14号首层,预包装食品、散装食品、乳制品,零售, , ,23.187252,113.164889,里水镇,水口大道
 佛山市南海区狮山美诚综合店,SP4406821350079327,11/13/2016,佛山市南海区狮山湖景湾9幢903、905号铺,预包装食品、散装食品、乳制品,零售, , ,23.122545,113.000614,狮山镇,博爱中路
 佛山市南海区丹灶晏金和杂货店,SP4406821350078651,11/07/2016,佛山市南海区丹灶镇联沙沙边村前北街一巷7号首层之A110号铺位,预包装食品,零售, , ,23.053335,112.914423,丹灶镇,桂丹西路
 佛山市南海区卫锴饮用水经营部,SP4406821350079079,11/11/2016,佛山市南海区狮山镇罗村二中对面2号商铺,预包装食品,零售, , ,23.056718,113.035789,狮山镇,罗务公路
 佛山市南海佳善日杂店,SP4406821250010535,05/03/2015,佛山市南海区狮山镇官窑大榄五村新区何均雄宅,预包装食品、乳制品,零售, , ,23.116214,112.927131,丹灶镇,沙塾胡村西街
 佛山市南海区大沥跃展小卖部,SP4406821050173291,11/06/2016,佛山市南海区大沥沥东芦村新发区三路10号,预包装食品,零售, , ,23.107483,113.121446,大沥镇,新发区三路
 佛山市南海区九江富家隆商店,SP4406821350078602,11/07/2016,佛山市南海区九江镇沙头石江江尾村文化楼右边崔波闻商铺,预包装食品、乳制品,零售, , ,22.946956,113.012968,南庄镇,养初南巷
 佛山市南海区里水福鑫商店,SP4406821350079476,11/17/2016,佛山市南海区里水镇邓岗北隅村地塘新区11号1楼,预包装食品、散装食品、乳制品,零售, , ,23.191913,113.149701,里水镇,麦边路
 佛山市南海区狮山乐兴百货商场,SP4406821350079521,11/17/2016,佛山市南海区狮山横岗嫩茶北村旧区十巷一号,预包装食品,零售, , ,23.101895,113.051876,狮山镇,新区大街
 佛山市南海区大沥夏景食品商行,SP4406821350078475,11/06/2016,佛山市南海区大沥镇广佛路段日发市场A5号,预包装食品,批发兼零售, , ,23.109202,113.125243,大沥镇,广佛路
 佛山市佛心医药连锁有限公司大榄分店,SP4406821010178251,11/11/2016,佛山市南海区狮山镇官窑大榄村第五村民小组李氏南八巷7号商铺,预包装食品,零售, , ,23.124953,113.002144,狮山镇,博爱路
 广州美日鲜农产品有限公司佛山分公司,SP4406821310242256,11/11/2016,佛山市南海区大沥镇黄岐建设大道1号中海金沙湾中区商业B16号铺,预包装食品、乳制品,批发兼零售, , ,23.140756,113.202326,大沥镇,沙溪大道
 佛山市南海区西樵镇樵华饮用水经营部,SP4406821350078514,11/06/2016,佛山市南海区西樵联新村15队樵华路边,预包装食品,零售, , ,22.949658,112.976149,西樵镇,庆和街
 佛山市南海区老曼峨茶行,SP4406821350078864,06/30/2014,佛山市南海区黄岐广佛路大转湾238号凯民茶博城内B6座首层a4号,预包装食品、散装食品,批发兼零售, , ,23.108261,113.176171,大沥镇,广佛路
 佛山市南海区港优尚品百货店,SP4406821350078969,11/10/2016,佛山市南海区狮山镇罗村罗湖区北湖一路雅居豪庭4楼（南座）14商铺,预包装食品、乳制品,零售, , ,23.063933,113.045442,狮山镇,北湖一路
 佛山市南海区颐丰烧腊店,SP4406821350080157,11/21/2016,佛山市南海区桂城石圩大庙农贸综合市场烧腊铺第5号,散装食品,零售, , ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市福麟橄榄酒业有限公司,SP4406821210005889,04/04/2015,佛山市南海区桂城街道东平路20号金百福都市广场D栋10号、11号铺01区,预包装食品,批发, , ,23.027038,113.165571,桂城街道,庆安路
 佛山市南海益康医药连锁店有限公司泰德堂分店,SP4406821310078612,11/07/2016,佛山市南海区九江镇沙头青平路迎安大街2号,预包装食品、乳制品,零售, , ,22.916224,113.023596,九江镇,清平路
 佛山市南海区桂城阿志烧腊档,SP4406821350079870,11/19/2016,佛山市南海区桂城石圩大庙农贸综合市场烧腊铺第8号,散装食品,零售, , ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海区官窑成立杂货店,SP4406821350079513,11/17/2016,佛山市南海区狮山镇官窑七甫村南门一村民小组市场南一路6号首层之一,预包装食品、乳制品,批发兼零售, , ,23.228403,113.078517,狮山镇,市场南一路
 佛山市南海同北堂医药有限公司,SP4406821310079507,11/17/2016,佛山市南海区大沥镇沥东荔庄南新区二街25号,预包装食品、乳制品,零售, , ,23.111805,113.130009,大沥镇,荔庄村
 佛山市南海龙翔西饼屋官窑喜悦分店,SP4406821310059336,05/30/2016,佛山市南海区狮山镇官窑教育路71号首层,预包装食品、散装食品、乳制品,零售, , ,23.092593,112.9764,狮山镇,教育路
 佛山市玫瑰假日酒店有限公司,SP4406821310079863,11/19/2016,佛山市南海区桂城街道佛平二路115号首层之二、四至九层,预包装食品,零售, , ,23.040011,113.13674,桂城街道,佛平二路
 佛山市南海区添记面包店,SP4406821350079853,11/19/2016,佛山市南海区桂城街夏北宝石路42号夏逸花园13号铺首层,预包装食品、散装食品、乳制品,零售, , ,23.061475,113.16098,桂城街道,宝石西路
 佛山市泽本贸易有限公司,SP4406821210029711,09/02/2015,佛山市南海区桂城南桂东路38号房地产发展大厦（副楼）5楼1号场地508室,预包装食品,批发, , ,23.03463,113.139404,桂城街道,桂东路
 佛山市南海区西樵诚美百货店,SP4406821350078483,11/06/2016,佛山市南海区西樵镇朝山工业一区,预包装食品、乳制品,零售, , ,22.872759,112.960965,九江镇,龙高路辅路
 佛山市南海区大沥联兴购销部,SP4406821350078598,11/06/2016,佛山市南海区大沥大发市场东排306、307号,预包装食品,批发兼零售, , ,23.109734,113.124559,大沥镇,广佛路
 佛山市南海区大沥龙诚酒行,SP4406821150223883,10/26/2014,佛山市南海区大沥沥雅路桂江农产品综合批发市场30号楼E007-E010号铺,预包装食品,零售, , ,23.129134,113.110796,大沥镇,X513(沥雅路)
 佛山市南海区梅洛酒类商行,SP4406821350078872,11/10/2016,佛山市南海区大沥镇黄岐海北建设大道南自编2至6号一楼D区D1013,预包装食品,批发兼零售, , ,23.143674,113.183856,大沥镇,建设大道
 佛山市南海区小塘康佳粮油店,SP4406821050171116,11/06/2016,佛山市南海区小塘二环路十八栋1号铺,预包装食品兼散装食品,零售, , ,23.095247,112.974683,狮山镇,二环路
 佛山市南海昌腾金属塑料制品有限公司,SP4406821010175817,11/11/2016,佛山市南海区大沥镇黄岐泌冲凤秀岗工业区,预包装食品,批发, , ,23.141008,113.179346,大沥镇,泌二大街
 佛山市粮冠米业有限公司,SP4406821310078485,11/06/2016,佛山市南海区大沥镇黄岐广佛路21号之11号,预包装食品,批发兼零售, , ,23.080288,113.098156,大沥镇,佛山大道
 佛山市南海区金沙东联勇佳桶装水店,SP4406821050179731,11/07/2016,佛山市南海区丹灶镇金沙东联陈边开发区新公路边,预包装食品,零售, , ,23.191691,112.974099,狮山镇,虹岭路
 佛山市南海区大沥镇盐步顺欣福百货店,SP4406821050174903,11/21/2016,佛山市南海区大沥镇盐步河东石庙村83号首层,预包装食品兼散装食品,零售, , ,23.093394,113.183138,大沥镇,康乐路
 佛山市南海区西樵实为家百货店,SP4406821350078506,11/06/2016,佛山市南海区西樵镇显星西路16号,预包装食品、乳制品,零售, , ,22.894306,112.97748,西樵镇,显岗大道
 佛山市南海区盐步振盈副食商店,SP4406821350078694,11/07/2016,佛山市南海区大沥镇盐步横江公路西侧变电站口（首层之一）,预包装食品,零售, , ,23.110561,113.165241,大沥镇,横沙路
 佛山市南海区家万好百货商场,SP4406821350078944,11/10/2016,佛山市南海区里水镇大冲大甘路1号内的第100号铺,预包装食品、散装食品、乳制品,批发兼零售, , ,23.159823,113.132869,里水镇,X513(大甘路)
 佛山市南海盐步仙仙商店,SP4406821350078741,11/07/2016,佛山市南海区大沥镇盐步横江江心新村二街1号（首层）,预包装食品、乳制品,零售, , ,23.112067,113.104895,大沥镇,新城大道辅路
 佛山市南海区福三高茶业商行,SP4406821250032572,06/30/2014,佛山市南海区大沥镇黄岐凯民茶博城内C2座首层a16号,预包装食品,批发兼零售, , ,23.112072,113.175704,大沥镇,渤海路
 佛山市南海区里水王秀云水店,SP4406821350078627,11/07/2016,佛山市南海区里水镇洲村长坑工业区李志刚商铺3号,预包装食品、散装食品,零售, , ,23.201026,113.158807,里水镇,新兴路
 佛山市南海区大沥镇黄岐诚宜水果店,SP4406821350078805,11/07/2016,佛山市南海区大沥镇黄岐建设大道1号中海金沙湾东区商业C3号铺,预包装食品,零售, , ,23.140756,113.202326,大沥镇,沙溪大道
 佛山市南海区桂城旺文粮油店,SP4406821350079175,11/11/2016,佛山市南海区桂城岗山南侧岗永盛市场首层粮油2号铺,预包装食品,零售, , ,23.113529,113.19703,大沥镇,黄岐乡府路
 佛山市南海区华赢百货商店,SP4406821350079505,11/17/2016,佛山市南海区狮山镇官窑教育路七甫商业楼侧2号（一、二层）,预包装食品、散装食品、乳制品,批发兼零售, , ,23.092593,112.9764,狮山镇,教育路
 佛山市真善缘餐饮有限公司,SP4406821310072865,09/10/2016,佛山市南海区西樵镇西樵村路边陈樵高路以南过境路1号荣华商贸广场A座首层5-8号,预包装食品、乳制品,零售, , ,22.9541,112.983612,西樵镇,S269(樵高路)
 佛山市南海区德业小卖部,SP4406821350079167,11/11/2016,佛山市南海区桂城南海大道北64号佛山市南海德宝大酒店大堂前台左侧,预包装食品,零售, , ,23.039438,113.135672,桂城街道,南海大道
 佛山市南海区金医堂大药房,SP4406821050174219,11/04/2016,佛山市南海区桂城桂平西路3号怡翠花园芙蓉南苑首层C-11号商铺,预包装食品,零售, , ,23.036385,113.15481,桂城街道,宝翠南路辅路
 佛山市南海区罗村乾鸿杂货店,SP4406821350078660,11/07/2016,佛山市南海区狮山镇罗村下柏工业大道16号首层第六号商铺,预包装食品,零售, , ,23.064658,113.016577,狮山镇,下柏工业大道
 佛山市南海（烟草）经济发展有限公司颐景园分店,SP4406821010179545,11/04/2016,佛山市南海区桂城华翠南路6号南海颐景园商业52号铺,预包装食品,零售, , ,23.037019,113.159395,桂城街道,华翠南路
 佛山市南海区官窑广雪日杂店,SP4406821050175711,11/11/2016,佛山市南海区狮山镇官窑七甫村“石牛牯”路段(即永安大道东)地段前排铺位第1、2号,预包装食品,零售, , ,23.22772,113.080551,狮山镇,永安大道
 佛山市南海区里水佳润百货店,SP4406821350079468,11/17/2016,佛山市南海区里水镇沙涌下亨田村大街5巷11号首层,预包装食品、散装食品、乳制品,零售, , ,22.950532,112.959581,西樵镇,沙涌西街
 佛山市南海区仪待杂货店,SP4406821050175666,11/02/2016,佛山市南海区平北新胜村口3号,预包装食品,零售, , ,23.173828,113.021375,狮山镇,
 佛山市南海区美爱杂货店,SP4406821350078580,11/07/2016,佛山市南海区九江镇沙头朗星大老村思寿里1号铺位,预包装食品、乳制品,零售, , ,22.833696,112.988233,九江镇,江滨路
 佛山市南海区大沥驳力百货店,SP4406821350078750,11/07/2016,佛山市南海区大沥镇盐步永青路28号铺,预包装食品,零售, , ,23.089623,113.176467,大沥镇,永青路
 佛山市南海九江洁元日用品店,SP4406821050175883,11/06/2016,佛山市南海区九江镇下西侯王村南约组张拾妹房屋铺位,预包装食品,零售, , ,22.830151,113.000261,九江镇,洪圣村路
 佛山市南海肇恩茶叶经营部,SP4406821350078784,11/07/2016,佛山市南海区狮山镇小塘塘新中路65号裕祥轩商铺05,预包装食品、散装食品,零售, , ,23.139369,112.958149,狮山镇,塘新中路
 佛山市南海区大沥港华轩百货店,SP4406821350078709,11/07/2016,佛山市南海区大沥镇盐步穗盐东路33号雅居蓝湾六区1栋28号商铺,预包装食品、乳制品,批发兼零售, , ,23.100415,113.186143,大沥镇,穗盐东路
 佛山市南海区如辉商店,SP4406821050174091,11/05/2016,佛山市南海区小塘狮西华平市头大街2号,预包装食品,零售, , ,22.967307,113.006723,南庄镇,上村村头大街
 佛山市南海盐步疗琼百货店,SP4406821350078725,11/07/2016,佛山市南海区大沥镇盐步横江村德润大街15号(首层),预包装食品,零售, , ,23.1144,113.164794,大沥镇,横沙路
 佛山市南海区湘真俯百货店,SP4406821350076746,10/21/2016,佛山市南海区桂城街道平洲平南村五斗小组“围仔”地段（原南鑫鞋厂空地）自编9号铺,预包装食品,零售, , ,23.039385,113.205114,桂城街道,江右大街
 佛山市南海区西樵壹点零杂货店,SP4406821350078299,11/04/2016,佛山市南海区西樵镇儒溪开发区凯鑫家具厂门前的商铺,预包装食品、乳制品,零售, , ,22.932598,112.997663,西樵镇,
 佛山市南海区里水蒋荣勇商店,SP4406821350079409,11/14/2016,佛山市南海区里水镇和顺金溪市场10号商铺,预包装食品、散装食品、乳制品,零售, , ,23.260156,113.125794,里水镇,金贤路
 珠海嘉伦药业集团光彩大药房连锁有限公司南海康来分店,SP4406821310078581,11/06/2016,佛山市南海区大沥大镇大道北座1号,预包装食品、乳制品,零售, , ,23.087626,113.104076,大沥镇,社头坊大路
 佛山市南海罗村润纯牛奶店,SP4406821050166882,10/16/2016,佛山市南海区狮山镇罗村罗村花苑A区12号,预包装食品、散装食品、乳制品,零售, , ,23.060184,113.049004,狮山镇,府前路
 佛山市南海义锋百货店,SP4406821350078678,11/07/2016,佛山市南海区大沥镇盐步横江富华村富华路3号,预包装食品,零售, , ,23.20879,112.991845,狮山镇,富华路
 佛山市南海区九江亿帆饮用水店,SP4406821350079003,11/10/2016,佛山市南海区九江镇沙头朗星陈教村万石坊一巷3号首层,预包装食品,批发兼零售, , ,22.914615,113.028381,九江镇,万安路
 佛山市南海区西樵吉瑞杂货店,SP4406821350078258,11/04/2016,佛山市南海区西樵百东开发区,预包装食品、乳制品,零售, , ,22.949658,112.976149,西樵镇,庆和街
 佛山市南海然生酒行,SP4406821350078635,11/07/2016,佛山市南海区狮山镇罗村罗湖区新湖二路罗湖市场首层杂货档17号,预包装食品,零售, , ,23.059178,113.044475,狮山镇,新湖一路
 佛山市全家福医药有限公司颜峰分店,SP4406821310078991,11/11/2016,佛山市南海区大沥颜峰村建设二路12号首层店铺,预包装食品、乳制品,零售, , ,23.129326,113.076327,狮山镇,建设二路
 佛山市南海盐步横江联达什货店,SP4406821350078733,11/07/2016,佛山市南海区大沥镇盐步横江东门商住楼A座17号,预包装食品,零售, , ,23.019326,113.117382,祖庙街道,岭南大道
 佛山市南海区沁森饮用水经营部,SP4406821050172844,11/04/2016,佛山市南海区狮山穆院市场北面二24号铺,预包装食品,零售, , ,23.128234,113.015069,狮山镇,S263(广云路)
 佛山市南海区里水贝健堂药房,SP4406821350078848,11/10/2016,佛山市南海区里水镇草场村蟹坑村民小组9-10号铺,预包装食品、散装食品、乳制品,零售, , ,23.188509,113.197581,里水镇,村前大路
 佛山市展铖贸易有限公司,SP4406821310078348,11/04/2016,佛山市南海区桂城街道南约第八住宅区88号佳高商务大楼七楼713室,预包装食品,批发, , ,23.036969,113.145301,桂城街道,花苑中路
 佛山市南海区翠莲美罗保健食品经营部,SP4406821350079134,11/11/2016,佛山市南海区桂城街道南海大道北35号机床厂内南综合楼自编108号铺,预包装食品,零售, , ,23.048395,113.133885,桂城街道,南海大道
 佛山市南海区社培奶茶店,SP4406821350078547,11/06/2016,佛山市南海区松岗山南群益综合市场A42号商铺,预包装食品、散装食品、乳制品,零售, , ,23.074541,113.029545,狮山镇,佳琪路
 佛山市南海区松岗众仁粮油店,SP4406821350079319,11/13/2016,佛山市南海区狮山镇松岗文明西路38号首层（文明路南侧）,预包装食品、散装食品,零售, , ,23.140719,113.096426,狮山镇,松风路
 佛山市南海区大沥国勇小卖部,SP4406821050176706,10/31/2016,佛山市南海区大沥谢边瓜步讯村小组便民街市自编6、7号商铺,预包装食品,零售, , ,23.112482,113.116558,大沥镇,振兴路
 佛山市南海区麦思源面包西饼屋,SP4406821350079087,11/11/2016,佛山市南海区桂城街道夏平路北侧自编G10号铺,预包装食品、散装食品,零售, , ,23.044764,113.167633,桂城街道,夏平路
 佛山市南海区意酒贸易有限公司,SP4406821310079148,11/11/2016,佛山市南海区桂城街道灯湖西路20号保利水城2栋14铺,预包装食品,零售, , ,23.062406,113.143216,桂城街道,海七路
 佛山市南海区生津食品店,SP4406821350078338,11/04/2016,佛山市南海区桂城街道南新四路25号105之一,预包装食品,零售, , ,23.032844,113.140569,桂城街道,南新四路
 佛山市南海区乐玩一族游艺城,SP4406821310242248,11/11/2016,佛山市南海区大沥镇黄岐海北建设大道南自编2至6号国昌红星广场A栋四楼C区C4006号铺,预包装食品,零售, , ,23.143891,113.195613,大沥镇,建设大道
 佛山市南海区名雀棋艺会所,SP4406821350077933,10/30/2016,佛山市南海区桂城平三路城东工业园A5地块3座三楼西侧,预包装食品,零售, , ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海区钻壹石娱乐俱乐部,SP4406821310242230,11/11/2016,佛山市南海区大沥镇黄岐海北建设大道南自编2至6号国昌红星广场A栋四楼D区,预包装食品,零售, , ,23.143891,113.195613,大沥镇,建设大道
 佛山市南海区大沥镇黄岐友诚粮油批发部,SP4406821350078491,11/06/2016,佛山市南海区大沥镇黄岐广佛路8号内B区13号商铺,预包装食品,批发, , ,23.084391,113.098328,大沥镇,东南大道
 佛山仁威药业有限公司桂城乐庆分店,SP4406821310079076,11/11/2016,佛山市南海区桂城乐庆商业街A8、A9号铺,预包装食品、乳制品,零售, , ,23.041304,112.90799,丹灶镇,有为大道
 佛山市南海区和顺见金商店,SP4406821350079351,11/13/2016,佛山市南海区里水镇和顺逢涌管理区高村员工之家A12号,预包装食品、散装食品、乳制品,零售, , ,23.042369,112.986648,狮山镇,X515(小塘工业大道)
 佛山市南海区西樵腾辉杂货店,SP4406821350078196,11/03/2016,佛山市南海区西樵科技工业园新纺大道侧今易德商贸广场A座11、12号铺,预包装食品、乳制品,批发兼零售, , ,22.948082,112.905699,西樵镇,新纺路
 佛山市南海区甘铃商店,SP4406821350078539,11/06/2016,佛山市南海区狮山镇松岗松风综合市场D座18号,预包装食品、乳制品,批发兼零售, , ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区松岗桃园升宝百货商场,SP4406821350078985,11/10/2016,佛山市南海区狮山镇松岗万石村金日王朝饮食康乐天地（办公楼）首层,预包装食品、散装食品、乳制品,零售, , ,23.147192,113.096797,狮山镇,松岗大道
 佛山市南海盐步为群日杂店,SP4406821350078081,10/31/2016,佛山市南海区大沥镇盐步永青路,预包装食品,零售, , ,23.112067,113.104895,大沥镇,新城大道辅路
 佛山市南海区婷容杂货店,SP4406821150228285,11/23/2014,佛山市南海区桂城街道夏平路北侧自编M59-60号铺,预包装食品,批发兼零售, , ,23.044764,113.167633,桂城街道,夏平路
 佛山市南海区港帆杂货店,SP4406821050170994,10/30/2016,佛山市南海区桂城街道夏平路北侧自编M11号铺,预包装食品,零售, , ,23.044764,113.167633,桂城街道,夏平路
 佛山市南海区广三油业有限公司第一便利店,SP4406821010169584,10/30/2016,佛山市南海区狮山华涌路段南加油站内,预包装食品,零售, , ,23.139404,112.991023,狮山镇,广云路辅路
 佛山市纽滋莱生物科技有限公司,SP4406821310057494,05/21/2016,佛山市南海区桂城街道灯湖西路20号保利水城2栋商业505铺,乳制品,批发, , ,23.062406,113.143216,桂城街道,海七路
 佛山市南海区桂城东怡红叶坊商务酒店（普通合伙）,SP4406821310075072,09/28/2016,佛山市南海区桂城街道桂澜路东二中心村七区首层局部、二层,预包装食品、乳制品,零售, , ,23.029172,113.150281,桂城街道,石肯桥
 佛山市南海区桂城红叶坊旅舍,SP4406821310075056,09/28/2016,佛山市南海区桂城石鸿兴钢铁综合市场CB商铺,预包装食品、乳制品,零售, , ,23.0009,113.146804,桂城街道,桂澜路辅路
 佛山市南海区桂城华翠红叶坊旅舍（普通合伙）,SP4406821310075064,09/28/2016,佛山市南海区桂城东二村民委员会东约村民小组土名十亩（桂城A1街区1号-21号）,预包装食品、乳制品,零售, , ,23.025748,113.157261,桂城街道,东中大街
 佛山市南海钱柜饮食娱乐有限公司,SP4406821310242117,10/11/2016,佛山市南海区桂城文华北路44号三楼部分、四楼,预包装食品,零售, , ,23.051567,113.122181,桂城街道,文华北路
 佛山市南海区西樵杰羲杂货店,SP4406821350075350,09/29/2016,佛山市南海区西樵民乐七队金钊锋纺织有限公司铺位,预包装食品、乳制品,零售, , ,22.953836,112.97539,西樵镇,锦章街
 佛山市南海区丹灶佳众杂货店,SP4406821350075421,10/07/2016,佛山市南海区丹灶镇石联石东村芸岗张强祥商铺自编3、4、5号,预包装食品,零售, , ,23.053335,112.914423,丹灶镇,桂丹西路
 佛山市南海区松岗佑添小卖部,SP4406821050169188,09/26/2016,佛山市南海区松岗石碣新企村四巷42号,预包装食品、散装食品、乳制品,零售, , ,23.147192,113.096797,狮山镇,松岗大道
 佛山市南海区盎然百货店,SP4406821350075536,10/07/2016,佛山市南海区松岗山南群益综合市场B65号,预包装食品、散装食品、乳制品,零售, , ,23.074541,113.029545,狮山镇,佳琪路
 佛山市南海益笙堂药店,SP4406821350075796,10/11/2016,佛山市南海区大沥镇盐步东秀盐秀路201、202、206号铺,预包装食品、乳制品,零售, , ,23.088568,113.179042,大沥镇,环镇北路
 佛山市南海区里水庆庆商店,SP4406821350076060,10/15/2016,佛山市南海区里水镇和顺南北大道鹤峰路段中霸装饰厂3号的商铺,预包装食品、散装食品、乳制品,零售, , ,22.946903,113.021609,南庄镇,村头东便二街
 佛山市南海迎宾馆,SP4406821010170579,09/27/2016,佛山市南海区桂城南海区政府大院内,预包装食品,零售, , ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海区西樵富意杂货店,SP4406821350075243,09/28/2016,佛山市南海区西樵上金瓯南海卫校旁,预包装食品,零售, , ,22.988224,112.910126,西樵镇,S269(大岗东路)
 佛山市南海区西樵涛羲杂货店,SP4406821350075202,09/28/2016,佛山市南海区西樵联新高家村旧村口边桥头,预包装食品、乳制品,零售, , ,22.957239,113.032675,南庄镇,S363(吉利大道西)
 佛山市南海区桂城春朝茶行,SP4406821350075657,10/09/2016,佛山市南海区桂城街道夏北宝石东路42号夏逸花园6号铺首层之二,预包装食品,零售, , ,23.061475,113.16098,桂城街道,宝石西路
 佛山市南海区大沥镇黄岐岐丰市场张锦强烧腊店,SP4406821350075681,06/30/2014,佛山市南海区大沥镇黄岐岐西路段岐丰市场首层78号,散装食品,零售, , ,23.118155,113.184259,大沥镇,岐西路
 佛山市南海区里水运新商店,SP4406821350075903,10/14/2016,佛山市南海区里水镇河村山塘工业区南海里水骏萌鞋材厂侧,预包装食品、散装食品,批发兼零售, , ,23.168546,113.1524,里水镇,碧湖路
 佛山市南海区桂城嘉顺百货店,SP4406821350075632,10/09/2016,佛山市南海区桂城街岗社区东约东大街四巷71号首层之一,预包装食品,零售, , ,23.037761,113.140535,桂城街道,桂城镇东约区东大街
 佛山市南海区九江湘粤便利店,SP4406821350075384,10/07/2016,佛山市南海区九江镇梅圳村上北大道黄健威车间A之一,预包装食品、乳制品,零售, , ,23.074541,113.029545,狮山镇,佳琪路
 中国石油化工股份有限公司广东佛山南海金文明加油站,SP4406821310075216,09/28/2016,佛山市南海区西樵镇崇南村崇民西路与樵华路交界地段,预包装食品、乳制品,零售, , ,22.966425,112.963149,西樵镇,顺群路
 佛山市南海区于勤茶叶商行,SP4406821350075392,10/07/2016,佛山市南海区大沥镇盐步穗盐路北3号迎海国际茶都自编B14-17号商铺,预包装食品、散装食品,批发兼零售, , ,23.097454,113.202949,大沥镇,穗盐东路
 佛山市南海区丹灶镇横江邓碧映汤料杂货店,SP4406821350075448,10/07/2016,佛山市南海区丹灶镇横江海滨开发区农贸市场72号,预包装食品,零售, , ,23.053335,112.914423,丹灶镇,桂丹西路
 佛山市南海区杨华粮油店,SP4406821350071898,09/02/2016,佛山市南海区狮山镇罗村城西区长庚大道金湖广场副食区23号的商铺,预包装食品、散装食品,批发兼零售, , ,23.061934,113.035215,狮山镇,贵隆路
